housing,loan,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_no job data,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,education,contact_No contact data,contact_cellular,contact_telephone,month,age,balance,day_of_week,duration,campaign,pdays,previous
1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,False,True,False,2,28,0,4,546,3,196,4
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3,False,True,False,11,54,1114,21,1195,2,175,1
1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,2,30,313,4,1121,2,-1,0
0,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,2,True,False,False,11,59,1026,5,669,1,-1,0
0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,False,True,False,9,31,275,14,99,3,-1,0
0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,False,True,False,7,41,944,31,81,2,-1,0
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,True,False,False,5,26,686,30,98,2,-1,0
1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,True,False,False,11,59,135,17,94,1,-1,0
0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,True,False,False,6,31,0,16,10,5,-1,0
1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,True,False,False,5,46,2121,14,160,1,-1,0
1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3,False,True,False,10,34,1730,8,97,2,-1,0
1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,False,True,False,2,52,195,18,220,1,63,5
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,False,False,True,7,67,1093,8,64,3,-1,0
0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,False,True,False,2,33,607,27,110,2,-1,0
0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,False,True,False,3,57,1292,24,89,1,-1,0
